X,Y,Z,value
229.0,174.0,0.0,0.526666820049
108.0,74.0,0.0,78.4379882813
175.0,139.0,0.0,129.029953003
211.0,36.0,0.0,719.512023926
127.0,39.0,0.0,8.56649971008
180.0,285.0,0.0,5.98699998856
49.0,139.0,0.0,40.6679992676
100.0,167.0,0.0,29.2869987488
259.0,267.0,0.0,0.526666820049
145.0,202.0,0.0,21.4650001526
258.0,94.0,0.0,0.526666820049
169.0,162.0,0.0,146.401992798
257.0,187.0,0.0,5.21799993515
252.0,287.0,0.0,1.06299984455
166.0,76.0,0.0,48.2949943542
102.0,206.0,0.0,0.526666820049
113.0,189.0,0.0,1.04399991035
102.0,296.0,0.0,684.533081055
234.0,276.0,0.0,12.5620031357
207.0,128.0,0.0,11.6520013809
107.0,281.0,0.0,10.6850004196
19.0,182.0,0.0,34.4230003357
6.0,176.0,0.0,1181.85083008
161.0,112.0,0.0,81.5059967041
147.0,157.0,0.0,467.019958496
223.0,146.0,0.0,885.112854004
63.0,169.0,0.0,2653.67626953
193.0,145.0,0.0,424.186157227
218.0,61.0,0.0,234.838012695
167.0,146.0,0.0,0.526666820049
28.0,263.0,0.0,49.2714996338
108.0,173.0,0.0,19.0799999237
57.0,41.0,0.0,2.64649987221
48.0,272.0,0.0,1940.96984863
208.0,44.0,0.0,19.3320007324
155.0,233.0,0.0,155.845993042
214.0,223.0,0.0,193.908996582
235.0,14.0,0.0,844.698974609
140.0,179.0,0.0,394.591003418
70.0,255.0,0.0,0.526666820049
166.0,11.0,0.0,0.526666820049
184.0,23.0,0.0,490.973083496
167.0,177.0,0.0,43.4420013428
94.0,40.0,0.0,76.2410049438
231.0,127.0,0.0,58.6270141602
124.0,145.0,0.0,0.526666820049
149.0,119.0,0.0,65.6795043945
154.0,246.0,0.0,27.3939933777
63.0,157.0,0.0,1360.0
29.0,246.0,0.0,23.7220001221
238.0,12.0,0.0,731.13092041
80.0,266.0,0.0,0.526666820049
234.0,189.0,0.0,1096.18017578
33.0,22.0,0.0,5.71999931335
144.0,96.0,0.0,136.786987305
121.0,160.0,0.0,19.3010005951
15.0,146.0,0.0,8.02133178711
7.0,158.0,0.0,224.309020996
164.0,139.0,0.0,549.498962402
28.0,192.0,0.0,88.9509887695
221.0,238.0,0.0,124.502983093
119.0,89.0,0.0,15.5710000992
189.0,211.0,0.0,65.1690063477
84.0,128.0,0.0,1121.90039063
52.0,183.0,0.0,396.904968262
148.0,7.0,0.0,60.8790092468
133.0,157.0,0.0,142.712036133
82.0,42.0,0.0,340.614990234
15.0,276.0,0.0,507.154998779
119.0,169.0,0.0,0.526666820049
104.0,100.0,0.0,0.526666820049
163.0,122.0,0.0,165.992050171
209.0,127.0,0.0,7.12100028992
10.0,112.0,0.0,1636.73986816
250.0,157.0,0.0,596.958984375
62.0,54.0,0.0,45.2709999084
124.0,71.0,0.0,43.0890007019
12.0,8.0,0.0,0.526666820049
169.0,223.0,0.0,77.4869918823
106.0,226.0,0.0,27.3790054321
27.0,150.0,0.0,117.136001587
61.0,1.0,0.0,4.04420042038
79.0,7.0,0.0,31.8650016785
196.0,119.0,0.0,0.526666820049
165.0,90.0,0.0,740.28894043
