X,Y,Z,value
0.0,0.0,0.0,0.526666820049
1.0,0.0,0.0,0.526666820049
2.0,0.0,0.0,0.526666820049
3.0,0.0,0.0,0.526666820049
4.0,0.0,0.0,0.526666820049
5.0,0.0,0.0,0.526666820049
6.0,0.0,0.0,0.526666820049
7.0,0.0,0.0,0.526666820049
8.0,0.0,0.0,0.526666820049
9.0,0.0,0.0,0.526666820049
10.0,0.0,0.0,0.526666820049
11.0,0.0,0.0,0.526666820049
12.0,0.0,0.0,0.526666820049
13.0,0.0,0.0,0.526666820049
14.0,0.0,0.0,0.526666820049
15.0,0.0,0.0,0.526666820049
16.0,0.0,0.0,0.526666820049
17.0,0.0,0.0,0.526666820049
18.0,0.0,0.0,0.526666820049
19.0,0.0,0.0,0.526666820049
20.0,0.0,0.0,0.526666820049
21.0,0.0,0.0,0.526666820049
22.0,0.0,0.0,0.526666820049
23.0,0.0,0.0,0.526666820049
24.0,0.0,0.0,0.526666820049
25.0,0.0,0.0,0.526666820049
26.0,0.0,0.0,0.526666820049
27.0,0.0,0.0,0.526666820049
28.0,0.0,0.0,32.8849983215
29.0,0.0,0.0,0.526666820049
30.0,0.0,0.0,0.526666820049
31.0,0.0,0.0,0.526666820049
32.0,0.0,0.0,0.526666820049
33.0,0.0,0.0,1.14374995232
34.0,0.0,0.0,2.54958820343
35.0,0.0,0.0,6.48400020599
36.0,0.0,0.0,13.3580007553
37.0,0.0,0.0,17.9620018005
38.0,0.0,0.0,20.2129974365
39.0,0.0,0.0,20.7390003204
40.0,0.0,0.0,20.7440013885
41.0,0.0,0.0,137.619003296
42.0,0.0,0.0,88.5159988403
43.0,0.0,0.0,101.938011169
44.0,0.0,0.0,277.528991699
45.0,0.0,0.0,229.513946533
46.0,0.0,0.0,42.8720054626
47.0,0.0,0.0,41.3810005188
48.0,0.0,0.0,28.138999939
49.0,0.0,0.0,27.7719993591
50.0,0.0,0.0,27.4550094604
51.0,0.0,0.0,27.7719993591
52.0,0.0,0.0,27.9410018921
53.0,0.0,0.0,27.9330005646
54.0,0.0,0.0,27.7070026398
55.0,0.0,0.0,25.8689994812
56.0,0.0,0.0,39.4319992065
57.0,0.0,0.0,111.328987122
58.0,0.0,0.0,161.290008545
59.0,0.0,0.0,46.8909988403
60.0,0.0,0.0,38.5849990845
61.0,0.0,0.0,5.56966686249
62.0,0.0,0.0,4.65799999237
63.0,0.0,0.0,3.39399981499
64.0,0.0,0.0,223.242019653
65.0,0.0,0.0,704.986022949
66.0,0.0,0.0,0.526666820049
67.0,0.0,0.0,0.526666820049
68.0,0.0,0.0,48.1010017395
69.0,0.0,0.0,169.733978271
70.0,0.0,0.0,39.5040016174
71.0,0.0,0.0,85.7339782715
72.0,0.0,0.0,6.66049957275
73.0,0.0,0.0,216.573989868
74.0,0.0,0.0,131.62600708
75.0,0.0,0.0,119.156005859
76.0,0.0,0.0,195.065948486
77.0,0.0,0.0,84.7599868774
78.0,0.0,0.0,68.5599975586
79.0,0.0,0.0,63.5239906311
80.0,0.0,0.0,88.46900177
81.0,0.0,0.0,8.39249992371
82.0,0.0,0.0,88.4489746094
83.0,0.0,0.0,7.89399862289
84.0,0.0,0.0,7.8436665535
85.0,0.0,0.0,7.82250022888
86.0,0.0,0.0,234.414016724
87.0,0.0,0.0,118.503990173
88.0,0.0,0.0,7.3409986496
89.0,0.0,0.0,86.5410003662
90.0,0.0,0.0,224.925018311
91.0,0.0,0.0,143.277999878
92.0,0.0,0.0,176.942993164
93.0,0.0,0.0,3.69499993324
94.0,0.0,0.0,3.69499993324
95.0,0.0,0.0,78.0599975586
96.0,0.0,0.0,162.268005371
97.0,0.0,0.0,3.867000103
98.0,0.0,0.0,4.93766689301
